Slug	ID	Title	Status	DoocsTags	Approaches	File	SourceURL
minimum-swaps-to-sort-by-digit-sum	3551	Minimum Swaps to Sort by Digit Sum	direct	Array|Hash Table|Sorting	<!-- tabs:start -->	3551_minimum-swaps-to-sort-by-digit-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3500-3599/3551.Minimum%20Swaps%20to%20Sort%20by%20Digit%20Sum/README_EN.md
reconstruct-a-2-row-binary-matrix	1253	Reconstruct a 2-Row Binary Matrix	direct	Greedy|Array|Matrix	Greedy	1253_reconstruct-a-2-row-binary-matrix.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1200-1299/1253.Reconstruct%20a%202-Row%20Binary%20Matrix/README_EN.md
check-if-number-is-a-sum-of-powers-of-three	1780	Check if Number is a Sum of Powers of Three	direct	Math	Mathematical Analysis	1780_check-if-number-is-a-sum-of-powers-of-three.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1780.Check%20if%20Number%20is%20a%20Sum%20of%20Powers%20of%20Three/README_EN.md
find-longest-special-substring-that-occurs-thrice-i	2981	Find Longest Special Substring That Occurs Thrice I	direct	Hash Table|String|Binary Search|Counting|Sliding Window	Binary Search + Sliding Window Counting|Counting	2981_find-longest-special-substring-that-occurs-thrice-i.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2900-2999/2981.Find%20Longest%20Special%20Substring%20That%20Occurs%20Thrice%20I/README_EN.md
prime-pairs-with-target-sum	2761	Prime Pairs With Target Sum	direct	Array|Math|Enumeration|Number Theory	Preprocessing + Enumeration	2761_prime-pairs-with-target-sum.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2761.Prime%20Pairs%20With%20Target%20Sum/README_EN.md
reordered-power-of-2	869	Reordered Power of 2	direct	Hash Table|Math|Counting|Enumeration|Sorting	Enumeration	0869_reordered-power-of-2.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0800-0899/0869.Reordered%20Power%20of%202/README_EN.md
minimum-subarray-length-with-distinct-sum-at-least-k	3795	Minimum Subarray Length With Distinct Sum At Least K	direct	Array|Hash Table|Sliding Window	Sliding Window	3795_minimum-subarray-length-with-distinct-sum-at-least-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3700-3799/3795.Minimum%20Subarray%20Length%20With%20Distinct%20Sum%20At%20Least%20K/README_EN.md
sum-of-subarray-ranges	2104	Sum of Subarray Ranges	direct	Stack|Array|Monotonic Stack	<!-- tabs:start -->|<!-- tabs:start -->	2104_sum-of-subarray-ranges.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2100-2199/2104.Sum%20of%20Subarray%20Ranges/README_EN.md
check-if-a-string-contains-all-binary-codes-of-size-k	1461	Check If a String Contains All Binary Codes of Size K	direct	Bit Manipulation|Hash Table|String|Hash Function|Rolling Hash	Hash Table|Sliding Window	1461_check-if-a-string-contains-all-binary-codes-of-size-k.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1400-1499/1461.Check%20If%20a%20String%20Contains%20All%20Binary%20Codes%20of%20Size%20K/README_EN.md
minimum-cost-to-make-arrays-identical	3424	Minimum Cost to Make Arrays Identical	direct	Greedy|Array|Sorting	Greedy + Sorting	3424_minimum-cost-to-make-arrays-identical.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3400-3499/3424.Minimum%20Cost%20to%20Make%20Arrays%20Identical/README_EN.md
first-completely-painted-row-or-column	2661	First Completely Painted Row or Column	direct	Array|Hash Table|Matrix	Hash Table + Array Counting	2661_first-completely-painted-row-or-column.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2600-2699/2661.First%20Completely%20Painted%20Row%20or%20Column/README_EN.md
maximum-number-of-groups-entering-a-competition	2358	Maximum Number of Groups Entering a Competition	direct	Greedy|Array|Math|Binary Search	Greedy + Binary Search	2358_maximum-number-of-groups-entering-a-competition.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2300-2399/2358.Maximum%20Number%20of%20Groups%20Entering%20a%20Competition/README_EN.md
maximum-strength-of-a-group	2708	Maximum Strength of a Group	direct	Greedy|Bit Manipulation|Array|Dynamic Programming|Backtracking|Enumeration|Sorting	Binary Enumeration|Sorting + Greedy	2708_maximum-strength-of-a-group.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2708.Maximum%20Strength%20of%20a%20Group/README_EN.md
find-the-longest-semi-repetitive-substring	2730	Find the Longest Semi-Repetitive Substring	direct	String|Sliding Window	Two Pointers|Two Pointers (Optimization)	2730_find-the-longest-semi-repetitive-substring.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/2700-2799/2730.Find%20the%20Longest%20Semi-Repetitive%20Substring/README_EN.md
minimum-length-of-string-after-deleting-similar-ends	1750	Minimum Length of String After Deleting Similar Ends	direct	Two Pointers|String	Two pointers	1750_minimum-length-of-string-after-deleting-similar-ends.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1700-1799/1750.Minimum%20Length%20of%20String%20After%20Deleting%20Similar%20Ends/README_EN.md
largest-values-from-labels	1090	Largest Values From Labels	direct	Greedy|Array|Hash Table|Counting|Sorting	<!-- tabs:start -->	1090_largest-values-from-labels.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/1000-1099/1090.Largest%20Values%20From%20Labels/README_EN.md
minimum-levels-to-gain-more-points	3096	Minimum Levels to Gain More Points	direct	Array|Prefix Sum	Enumeration	3096_minimum-levels-to-gain-more-points.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/3000-3099/3096.Minimum%20Levels%20to%20Gain%20More%20Points/README_EN.md
partition-array-into-disjoint-intervals	915	Partition Array into Disjoint Intervals	direct	Array	Prefix Maximum + Suffix Minimum	0915_partition-array-into-disjoint-intervals.md	https://raw.githubusercontent.com/doocs/leetcode/main/solution/0900-0999/0915.Partition%20Array%20into%20Disjoint%20Intervals/README_EN.md
